"UnitCode","UnitName","long","lat","ppt","tmax","tmin","tmean","year","month"
"ACAD","Acadia National Park",-68.26019,44.376559,54.33984375,13.16015625,3.099609375,8.1298828125,1911,10
"ACAD","Acadia National Park",-68.26019,44.376559,175.1396484375,6.5498046875,-2.3603515625,2.099609375,1911,11
"ACAD","Acadia National Park",-68.26019,44.376559,107.1396484375,3.2802734375,-5.16015625,-0.9404296875,1911,12
"ACAD","Acadia National Park",-68.26019,44.376559,147.580078125,-5.0302734375,-15.8095703125,-10.419921875,1912,1
"ACAD","Acadia National Park",-68.26019,44.376559,116.0498046875,-1.5498046875,-13.2197265625,-7.3896484375,1912,2
"ACAD","Acadia National Park",-68.26019,44.376559,152.25,3.5302734375,-7.580078125,-2.0302734375,1912,3
"ACAD","Acadia National Park",-68.26019,44.376559,99.240234375,8.9501953125,-1.669921875,3.6396484375,1912,4
"ACAD","Acadia National Park",-68.26019,44.376559,237.169921875,15.0498046875,5.8896484375,10.4697265625,1912,5
"ACAD","Acadia National Park",-68.26019,44.376559,31.08984375,19.98046875,8.73046875,14.3603515625,1912,6
"ACAD","Acadia National Park",-68.26019,44.376559,104.400390625,23.4697265625,12.73046875,18.099609375,1912,7
"ACAD","Acadia National Park",-68.26019,44.376559,108,20.01953125,10.599609375,15.3095703125,1912,8
"ACAD","Acadia National Park",-68.26019,44.376559,88.8896484375,17.6103515625,7.1796875,12.400390625,1912,9
"ACAD","Acadia National Park",-68.26019,44.376559,128.0703125,13.9599609375,3.9501953125,8.9599609375,1912,10
"ACAD","Acadia National Park",-68.26019,44.376559,135.1396484375,7.23046875,-1.509765625,2.8603515625,1912,11
"ACAD","Acadia National Park",-68.26019,44.376559,154.740234375,2.6103515625,-7.9296875,-2.66015625,1912,12
"ACAD","Acadia National Park",-68.26019,44.376559,105.7001953125,3.330078125,-7.08984375,-1.8798828125,1913,1
"ACAD","Acadia National Park",-68.26019,44.376559,85.240234375,-2.0703125,-13.91015625,-7.990234375,1913,2
"ACAD","Acadia National Park",-68.26019,44.376559,199.0703125,5.6796875,-3.8896484375,0.900390625,1913,3
"ACAD","Acadia National Park",-68.26019,44.376559,71.76953125,9.990234375,0.0400390625,5.01953125,1913,4
"ACAD","Acadia National Park",-68.26019,44.376559,100.3701171875,12.3203125,3.1298828125,7.73046875,1913,5
"ACAD","Acadia National Park",-68.26019,44.376559,7.169921875,20.080078125,8.4296875,14.259765625,1913,6
"ACAD","Acadia National Park",-68.26019,44.376559,84.0595703125,23.98046875,14,18.990234375,1913,7
"ACAD","Acadia National Park",-68.26019,44.376559,54.8896484375,22.169921875,11.23046875,16.7001953125,1913,8
"ACAD","Acadia National Park",-68.26019,44.376559,96.2001953125,17.9501953125,6.7900390625,12.3701171875,1913,9
"ACAD","Acadia National Park",-68.26019,44.376559,237.2900390625,15.490234375,8.009765625,11.75,1913,10
"ACAD","Acadia National Park",-68.26019,44.376559,36.6796875,9.169921875,-1.599609375,3.7900390625,1913,11
"ACAD","Acadia National Park",-68.26019,44.376559,116.4599609375,2.7099609375,-7.4296875,-2.3603515625,1913,12
"ACAD","Acadia National Park",-68.26019,44.376559,105.4501953125,-3.3095703125,-13.8095703125,-8.5595703125,1914,1
"ACAD","Acadia National Park",-68.26019,44.376559,78.240234375,-3.9697265625,-16.76953125,-10.3701171875,1914,2
"ACAD","Acadia National Park",-68.26019,44.376559,109.4697265625,2.7197265625,-6.509765625,-1.900390625,1914,3
"ACAD","Acadia National Park",-68.26019,44.376559,90.6298828125,8.7099609375,-2.7900390625,2.9599609375,1914,4
"ACAD","Acadia National Park",-68.26019,44.376559,37.8095703125,18.0595703125,5.990234375,12.0302734375,1914,5
"ACAD","Acadia National Park",-68.26019,44.376559,105.259765625,20.2197265625,8.7001953125,14.4599609375,1914,6
"ACAD","Acadia National Park",-68.26019,44.376559,67.8603515625,22.830078125,11.75,17.2900390625,1914,7
"ACAD","Acadia National Park",-68.26019,44.376559,82.169921875,22.400390625,12.3896484375,17.400390625,1914,8
"ACAD","Acadia National Park",-68.26019,44.376559,46.3701171875,20.490234375,9.4697265625,14.98046875,1914,9
"ACAD","Acadia National Park",-68.26019,44.376559,92.26953125,15.650390625,4.58984375,10.1201171875,1914,10
"ACAD","Acadia National Park",-68.26019,44.376559,86.08984375,5.2900390625,-5.33984375,-0.01953125,1914,11
"ACAD","Acadia National Park",-68.26019,44.376559,49.6298828125,-0.6904296875,-11.23046875,-5.9599609375,1914,12
"ACAD","Acadia National Park",-68.26019,44.376559,115.330078125,-0.3896484375,-9.51953125,-4.9599609375,1915,1
"ACAD","Acadia National Park",-68.26019,44.376559,86.5302734375,1.5703125,-8.23046875,-3.330078125,1915,2
"ACAD","Acadia National Park",-68.26019,44.376559,10.5595703125,3.8896484375,-7.16015625,-1.6396484375,1915,3
"ACAD","Acadia National Park",-68.26019,44.376559,96.1201171875,11.349609375,1.5302734375,6.4404296875,1915,4
