"UnitCode","long","lat","tmean.max","year","tmean.max.ym","tmax.max","tmax.max.ym","tmean.min","tmean.min.ym","tmin.min","tmin.min.ym","ppt.max","ppt.max.ym","ppt.min","ppt.min.ym"
"ACAD",-68.26019,44.376559,19.3203125,1959,1959-07-01,24.98046875,1959-07-01,-7.8896484375,1959-02-01,-13.8603515625,1959-02-01,224.400390625,1959-11-01,34.240234375,1959-05-01
"ACAD",-68.26019,44.376559,18.7802734375,1960,1960-07-01,24.150390625,1960-07-01,-4.98046875,1960-01-01,-9.7001953125,1960-01-01,243.7998046875,1960-02-01,22.0400390625,1960-08-01
"ACAD",-68.26019,44.376559,18.1298828125,1961,1961-08-01,23.669921875,1961-08-01,-9.01953125,1961-01-01,-14.419921875,1961-01-01,213.330078125,1961-11-01,32.66015625,1961-08-01
"ACAD",-68.26019,44.376559,16.990234375,1962,1962-08-01,21.259765625,1962-06-01,-7.66015625,1962-02-01,-13.650390625,1962-02-01,238.8701171875,1962-11-01,39.2998046875,1962-03-01
"ACAD",-68.26019,44.376559,19.91015625,1963,1963-07-01,25.740234375,1963-07-01,-8.08984375,1963-02-01,-14.2197265625,1963-02-01,247.23046875,1963-11-01,24.4296875,1963-06-01
"ACAD",-68.26019,44.376559,17.76953125,1964,1964-07-01,22.5302734375,1964-07-01,-4.8095703125,1964-02-01,-10.26953125,1964-02-01,169.6201171875,1964-12-01,36.1103515625,1964-07-01
"ACAD",-68.26019,44.376559,18.25,1965,1965-08-01,24.1396484375,1965-07-01,-7.7001953125,1965-01-01,-12.7001953125,1965-01-01,219.16015625,1965-11-01,14.3798828125,1965-06-01
"ACAD",-68.26019,44.376559,18.6396484375,1966,1966-07-01,24.259765625,1966-07-01,-4.6904296875,1966-02-01,-10.240234375,1966-02-01,148.26953125,1966-11-01,20.7099609375,1966-04-01
"ACAD",-68.26019,44.376559,18.41015625,1967,1967-08-01,22.990234375,1967-08-01,-8.1298828125,1967-02-01,-14.759765625,1967-02-01,246.080078125,1967-12-01,50.8095703125,1967-03-01
"ACAD",-68.26019,44.376559,19.9404296875,1968,1968-07-01,26.25,1968-07-01,-8.23046875,1968-01-01,-14.150390625,1968-02-01,216.5703125,1968-11-01,6.0703125,1968-07-01
"ACAD",-68.26019,44.376559,19.9404296875,1968,1968-07-01,26.25,1968-07-01,-8.23046875,1968-02-01,-14.150390625,1968-02-01,216.5703125,1968-11-01,6.0703125,1968-07-01
"ACAD",-68.26019,44.376559,19.330078125,1969,1969-08-01,24.6796875,1969-08-01,-5.33984375,1969-01-01,-9.5302734375,1969-01-01,280.2998046875,1969-12-01,33.58984375,1969-06-01
"ACAD",-68.26019,44.376559,19.7998046875,1970,1970-07-01,25.5498046875,1970-07-01,-10.0400390625,1970-01-01,-14.3603515625,1970-01-01,199.9697265625,1970-02-01,18.83984375,1970-01-01
"ACAD",-68.26019,44.376559,19.23046875,1971,1971-07-01,25.3701171875,1971-07-01,-10.169921875,1971-01-01,-15.6396484375,1971-01-01,183.7900390625,1971-02-01,39.919921875,1971-06-01
"ACAD",-68.26019,44.376559,18.7001953125,1972,1972-07-01,24.4404296875,1972-07-01,-6.66015625,1972-02-01,-11.8798828125,1972-02-01,235.51953125,1972-03-01,36.5,1972-08-01
"ACAD",-68.26019,44.376559,20.0498046875,1973,1973-07-01,25.4599609375,1973-07-01,-5.98046875,1973-02-01,-10.919921875,1973-02-01,215.6103515625,1973-12-01,90.0498046875,1973-11-01
"ACAD",-68.26019,44.376559,19.58984375,1974,1974-08-01,25.7197265625,1974-08-01,-6.5,1974-02-01,-11.5400390625,1974-02-01,193.8896484375,1974-09-01,33.1103515625,1974-10-01
"ACAD",-68.26019,44.376559,20.01953125,1975,1975-07-01,25.259765625,1975-07-01,-5.8095703125,1975-02-01,-10.26953125,1975-02-01,217.4599609375,1975-12-01,48.650390625,1975-02-01
"ACAD",-68.26019,44.376559,18.83984375,1976,1976-07-01,24.25,1976-06-01,-7.830078125,1976-01-01,-13,1976-01-01,194.6904296875,1976-01-01,54.669921875,1976-09-01
