"year","month","noaa.year.month","noaa.anom","mcfarland.year.month","mcfarland.anom"
1929,11,1929-11-01,-0.906484677810078,NA,NA
1929,12,1929-12-01,-2.09076732073643,NA,NA
1930,1,1930-01-01,0.372445913461538,NA,NA
1930,2,1930-02-01,-0.373655348557692,NA,NA
1930,3,1930-03-01,-0.169681490384615,NA,NA
1930,4,1930-04-01,-0.976742788461539,NA,NA
1930,5,1930-05-01,0.184532752403847,NA,NA
1930,6,1930-06-01,2.60518329326923,NA,NA
1930,7,1930-07-01,-0.0752629206730759,NA,NA
1930,8,1930-08-01,-0.586080228365386,NA,NA
1930,9,1930-09-01,2.01629118217054,NA,NA
1930,10,1930-10-01,0.289024648740311,NA,NA
1930,11,1930-11-01,0.723398134689922,NA,NA
1930,12,1930-12-01,-0.000923570736433899,NA,NA
1931,1,1931-01-01,-0.247671274038462,NA,NA
1931,2,1931-02-01,1.14587590144231,NA,NA
1931,3,1931-03-01,0.990474759615385,NA,NA
1931,4,1931-04-01,0.742983774038461,NA,NA
1931,5,1931-05-01,0.134728064903847,NA,NA
1931,6,1931-06-01,0.614948918269231,NA,NA
1931,7,1931-07-01,-0.155341045673076,NA,NA
1931,8,1931-08-01,-0.156392728365386,NA,NA
1931,9,1931-09-01,0.436213057170542,NA,NA
1931,10,1931-10-01,1.22847777374031,NA,NA
1931,11,1931-11-01,3.21363250968992,NA,NA
1931,12,1931-12-01,1.12895924176357,NA,NA
1932,1,1932-01-01,4.37244591346154,NA,NA
1932,2,1932-02-01,-0.984006911057692,NA,NA
1932,3,1932-03-01,-1.25952524038462,NA,NA
1932,4,1932-04-01,-0.436703725961539,NA,NA
1932,5,1932-05-01,-0.115271935096153,NA,NA
1932,6,1932-06-01,-0.0549729567307686,NA,NA
1932,7,1932-07-01,-1.50592698317308,NA,NA
1932,8,1932-08-01,1.07309945913461,NA,NA
1932,9,1932-09-01,0.496759932170542,NA,NA
1932,10,1932-10-01,0.699180898740311,NA,NA
1932,11,1932-11-01,-0.876211240310078,NA,NA
1932,12,1932-12-01,1.29888111676357,NA,NA
1933,1,1933-01-01,3.32264122596154,NA,NA
1933,2,1933-02-01,3.04626652644231,NA,NA
1933,3,1933-03-01,-0.549564302884615,NA,NA
1933,4,1933-04-01,-0.197445913461539,NA,NA
1933,5,1933-05-01,0.194298377403847,NA,NA
1933,6,1933-06-01,0.305378605769231,NA,NA
1933,7,1933-07-01,-1.17584885817308,NA,NA
1933,8,1933-08-01,-0.256978665865386,NA,NA
1933,9,1933-09-01,0.256525557170542,NA,NA
1933,10,1933-10-01,-0.331092538759689,NA,NA
1933,11,1933-11-01,-3.90648467781008,NA,NA
1933,12,1933-12-01,-5.80072825823643,NA,NA
1934,1,1934-01-01,-1.87755408653846,NA,NA
1934,2,1934-02-01,-5.70373347355769,NA,NA
1934,3,1934-03-01,-0.529056490384615,NA,NA
1934,4,1934-04-01,1.10333533653846,NA,NA
1934,5,1934-05-01,1.23433743990385,NA,NA
1934,6,1934-06-01,-0.664347956730769,NA,NA
1934,7,1934-07-01,-0.0654972956730759,NA,NA
1934,8,1934-08-01,-1.45619741586539,NA,NA
1934,9,1934-09-01,1.63640836967054,NA,NA
1934,10,1934-10-01,-1.89163941375969,NA,NA
1934,11,1934-11-01,1.01343719718992,NA,NA
1934,12,1934-12-01,-3.02045482073643,NA,NA
1935,1,1935-01-01,-3.05724158653846,NA,NA
1935,2,1935-02-01,-0.583616286057692,NA,NA
1935,3,1935-03-01,-1.38940805288462,NA,NA
1935,4,1935-04-01,-1.47674278846154,NA,NA
1935,5,1935-05-01,-0.365271935096153,NA,NA
1935,6,1935-06-01,0.225300480769231,NA,NA
1935,7,1935-07-01,1.40422926682692,NA,NA
1935,8,1935-08-01,1.06333383413461,NA,NA
1935,9,1935-09-01,-0.513005692829458,NA,NA
1935,10,1935-10-01,-0.311561288759689,NA,NA
1935,11,1935-11-01,0.873788759689922,NA,NA
1935,12,1935-12-01,-4.20111888323643,NA,NA
1936,1,1936-01-01,-0.867788461538462,NA,NA
1936,2,1936-02-01,-2.77404597355769,NA,NA
1936,3,1936-03-01,3.06078725961538,NA,NA
1936,4,1936-04-01,-2.08709435096154,NA,NA
1936,5,1936-05-01,-0.185584435096153,NA,NA
1936,6,1936-06-01,-0.0149338942307686,NA,NA
1936,7,1936-07-01,-1.66510667067308,NA,NA
1936,8,1936-08-01,-0.656392728365386,NA,NA
1936,9,1936-09-01,-1.19366975532946,NA,NA
1936,10,1936-10-01,-0.791053476259689,NA,NA
1936,11,1936-11-01,-3.33617217781008,NA,NA
1936,12,1936-12-01,0.0693889292635661,NA,NA
1937,1,1937-01-01,3.31287560096154,NA,NA
1937,2,1937-02-01,2.39587590144231,NA,NA
1937,3,1937-03-01,-2.21948617788462,NA,NA
1937,4,1937-04-01,0.103335336538461,NA,NA
1937,5,1937-05-01,1.40425931490385,NA,NA
1937,6,1937-06-01,0.785847355769231,NA,NA
1937,7,1937-07-01,1.12493239182692,NA,NA
1937,8,1937-08-01,2.79380258413461,NA,NA
1937,9,1937-09-01,0.676447432170542,NA,NA
1937,10,1937-10-01,-0.460975351259689,NA,NA
1937,11,1937-11-01,0.293710634689922,NA,NA
1937,12,1937-12-01,-0.0907673207364339,NA,NA
1938,1,1938-01-01,-0.297475961538462,NA,NA
